,text
94,"Nhân viên phục vụ rất chuyên nghiệp , nhanh, thân thiện, chu đáo và quan tâm đến khách hàng . Đồ uống và đồ ăn rất ngon. Không gian ngồi rất thoải mái, nhạc nhẹ. Cảm ơn bạn Jade, Sơn, Vy, Hân, Thanh, Linh"
95,"Phòng họp bố trí đẹp , gọn gàng đầy đủ trang thiết bị âm thanh máy chiếu ,phòng có view thành phố đẹp . Đồ ăn break và nhà hàng ngon miệng . Came ơn các bạn nhân viên Mỹ Linh , Thanh , Yến Nhi , My, Phương , Âu , Tính,Jade,Thanh Nhi đã phục vụ tận tình chu đáo"
96,"Không gian yên tĩnh thích hợp cho việc meeting , nhân viên thân thiện , luôn nhiệt tình giúp đỡ . Sẽ giới thiệu bạn bè và đồng nghiệp tới ủng hộ khách sạn . Đặc biệt Nhi Linh và Thái Thanh rất dễ thương ."
97,"Nhân viên tiếp đãi khách ân cần, dễ mến. Cám ơn quầy bar đã cho tôi một ly cà phê ngon tuyệt vời. Nhi Linh, Thái Thanh Lần sau tôi sẽ tiếp tục trở lại để thưởng thức cà phê ngon ở nơi đây. Cảm ơn các bạn rất nhiều."
98,"Cảm ơn các bạn nhân viên Thanh , Yến Nhi , My , Trâm , Âu , Tính đã hỗ trợ nhiệt tình chu đáo cho các thanh viên trong phòng họp . Các bạn take care rất tốt . Các món ăn đa dạng và rất ngon miệng , cà phê thì tuyệt vời"
99,"Phòng họp được setup theo như yêu cầu của bên mình. Không gian ấm áp. Đồ ăn ngon. Nước uống nhiều loại. các bạn phục vụ rất nhiệt tình, hỗ trợ tụi mình rất nhiều. Thanh, Âu, Nhi, Trâm cám ơn các bạn nhiều ra. mình mong ngày họp ngày mai vẫn sẽ tốt đẹp"
100,"Yến Nhi Thanh Âu Tính Trâm. Các bạn nhân viên rất nhiệt tình, dịch vụ tốt. Đồ ăn khá ngon. Trang thiết bị phòng họp tạm ổn, nên lắp đặt màn chiếu tốt hơn. Lần sau sẽ quay lại! Cảm ơn các bạn rất nhiều."
101,"Phòng sạch sẽ, view đẹp, nhân viên thân thiện và hỗ trợ khách hết mình, cảm ơn các bạn Team Banquet: Khương, Tính, Hoàng, Phương, bữa sáng ngon miệng, cơ sở vật chất khách sạn tốt, một buổi họp cực kì thành công, nhất định sẽ quay lại vào một dịp nào đó. Chúc khách sạn kinh doanh tốt đẹp"
102,"lần thứ ba đến với Renaissance để tham gia training nhân viên ở đây tạo cho tôi sự gần gũi mọi người luôn thân thiện, nhiệt tình và luôn hỗ trợ khi tôi cần đến sự giúp đỡ của các bạn nhân viên. Cảm ơn Thanh, Yến Nhi, Tính, Âu, Trâm, Vinh,MY và Phương rất nhiều."
103,"Tôi rất hài lòng về dịch vụ tại đây, cảm ơn các bạn team banquet đã hỗ trợ, food rất ngon và bắt mắt, phòng họp sang trọng và đẹp, rất mong lần sau sẽ gặp lại và làm việc cùng với các em Phương, Tính, Thanh. Thanks!"
104,"Đồ ăn ngon, các bạn staff rất nhiệt tình, take care tốt,  mặt dù có vấn đề kỹ thuật nhưng xử lý rất nhanh, không gian phòng họp kín đáo, có view đẹp, cảm ơn team banquet đã hỗ trợ, rất mong lần sau sẽ đuoc làm việc cùng các bạn. Đặc biệt cảm ơn Tính và Phương!"
105,"Không gian thoáng mát, sạch sẽ, view đẹpNhân viên phục vụ nhiệt tình, thân thiện, chuyên nghiệp, đáp ứng đủ các nhu cầu đặc biệt của khách: Bảo Trâm, Trung Tính, Quang Vinh, Phương, NhậtMenu đa dạng"
106,"Nhân viên nhiệt tình, chuyên nghiệp, xử lí kịp thời yêu cầu của khách, thân thiện: Bảo Trâm, Trung Tính, Quang Vinh, Phương, NhậtKhông gian khách sạn khá thoải mái, view đẹpMenu hợp khẩu vị, trang trí đẹp mắt."
107,"Phòng họp có view thành phố và view sông đẹp , thoáng mát sạch sẽ , có hỗ trợ máy chiếu và âm thanh trong phòng Đồ ăn nhẹ đa dạng , trang trí đẹp và rất ngon.Các bạn nhân viên rất vui vẻ và hoài đồng , cảm ơn Thanh ,Yến Nhi , Phương , Tính , My , Nhật , Hoàng đã phục vụ rất tốt."
108,"Abbott Meeting ngày hôm nay rất thành công, các bạn nhân viên phục vụ nhiệt tình, take care tốt, không gian khách sạn thoải mái, tôi rất thích view của khách sạn, có thể nhìn ra bến Bạch Đằng, cảm ơn team banquet bạn: Tính, Phương, Hoàng, Trâm, Vinh, Thanh"
109,"Không gian sang trọng , thoáng . Phòng họp có hỗ trợ âm thanh và máy chiếu Nhân viên phục vụ tận tình chu đáo luôn hỗ trợ khi cần , cảm ơn các bạn Tính , Thanh , Khương , My  , Yến Nhi , Phương đã đuổi ."
110,"Cảm ơn các bạn nhân viên Thanh , Nhật , Phương , Tính , Yến Nhi và Jade đã hỗ trợ nhiệt tình và phục vụ chu đáo cho buổi họp hôm nay Đồ ăn thức uống ngon , đặc biệt mình rất thích cà phê ở đây .Thanks team!!!"
111,"Nay tôi có cơ hội đi họp tại đây, tôi rất hài lòng với không gian và dịch vụ, phòng họp thoáng mát, có tầm nhìn đẹp, đồ ăn hơi ngọt nhưng cũng rất ngon, các bạn nhân viên nhiệt tình, Tính, Phương, Thanh, Vinh, Hoàng, Jade"
112,"Thức ăn ngon, khá hợp khẩu vịKhông gian khách sạn rộng rãi, thoáng mát, có mùi hương đặc trưngĐáp ứng các yêu cầu đặc biệt của tôiNhân viên dễ thương, nhiệt tình, hoà đồng, take care khách kịp thời: Trâm, Vinh, Tính, Nhật"
113,"Tôi rất hài lòng về dịch vụ ở Rbar , từ không gian cho đến thức uống . View chụp hình sống ảo rất đẹp . 1 ly bia Heniken chill cùng những bài hát của ban nhạc . Rất tuyệt.Cảm ơn Nhi , Vy , Hân phục vụ rất tận tình"
114,"Không gian sang trọng , thức uống với đồ ăn rất ngon , đặc biệc là cocktail thương thức 1 lu cocktail ngồi nghe ban nhạc hát rất hay Cảm ơn các bạn Vy , Nhi  đã phục vụ rất nhiệt tình và vui vẻ , tôi sẽ quay lại"
115,"Một ly cà phê vào cuối tuần tại rbar làm tôi cảm thấy vui vẻ và tràn đầy năng lượng. Không gian ấm áp, thoáng mát và âm nhạc chill. Các bạn nhân viên rất đáng yêu và nhiệt tình. Đặc biệt cảm ơn bạn Jade, Hân, Thanh các bạn rất tuyệt vời. Nếu có dịp tôi sẽ quay lại."
116,"Rbar hôm nay thật vui nhộn. Có band nhạc, ca sĩ hát hay. Đồ ăn và đồ uống ở Rbar rất ngon , nước rất đặc biệt và hôm nay tôi được mời 1 ly bar ritual rất tuyệt vời . Tôi sẽ đến cùng với bạn bè nhiều hơn. Cảm ơn bạn Jade, Long, Son, Linh đã giới thiệu tôi cocktail ngon."
117,"Nay mình uống cà phê sữa cùng với bạn tại bar của khách sạn. Không gian thoải mái, sạch sẽ khá phù hợp cho học tập và làm việc. Nhân viên nhiệt tình và rất take care mình. Cảm ơn bạn nhân viên Linh và Hân."
118,"Tôi đến Rbar để gặp bạn bè của tôi. Món nước ở đây rất tươi , ngon. Nhân viên phục vụ tốt. View ở đây thật đẹp.Cảm ơn bạn Châu, Vy, Hân, Sơn, Long vì đã tân tình phục vụ, luôn luôn vui vẻ với khách hàng dù tôi có rất nhiều yêu cầu. Tôi sẽ giới thiệu bạn bè đến đây."
119,"Tôi tham gia hội thảo tại lầu 5 khách sạn Renaissance . Các bạn banquet rất nhiệt tình, hỗ trợ chu đáoCám ơn team banquet hỗ trợ hội thảo: Bạn Minh Nhật , Tính , Thanh , Vinh , ÂuChúng tôi sẽ quay lại"
120,"Nhân viên phục vụ rất nhiệt tình, chu đáo, luôn luôn quan tâm khách hàng. Đồ uống rất đa dạng và trang trí đẹp. Đồ ăn ngon, không gian yên tĩnh, thích hợp để gặp gỡ bạn bè . Cảm ơn Jade, Han, Vy, Son , Long"
121,"Mình có 1  ngày trải nhiệm rất tốt với team ở Dior party.  Phong cách làm việc của team chuyên nghiệp và mới mẻ, mọi thứ rất tuyệt, Trâm có sự nhiệt tình, Phương rất tốt, Vinh có sự hài hước, lucas is the nice guys"
122,"Hôm nay tôi hỗ trợ cho SEMI Meeting, không gian tại đây rất thoải mái, ấm cúng, đồ ăn ngon và hợp khẩu vị, Nhân viên phục vụ rất tốt, cảm ơn team banquet đặc biệt là Tính, Đăng, Thanh, Nhi, Trâm, Vinh"
123,"Không gian Atrium tầng 5 của khách sạn rất ấm cúng và rộng rãi, đồ ăn ngon, các bạn phục vụ luôn luôn giúp đỡ nhiệt tình, cảm ơn team banquet đặc biệt là các bạn Tính, Trâm, Vinh, Thanh, Nhi, Âu, Nhi"
124,"Phòng họp đơn giản , đầy đủ trang thiết bị điện tử . Có phục vụ trà ,cà phê và đồ ăn nhẹ . Cac bạn nhân viên thân thiện , nhiệt tình rất chu đáo , đặc biệt cảm ơn bạn My , bạn Thanh , bạn Âu đã phục vụ rất tốt ."
125,"Nam,  Nhat chất lượng phục vụ tốt, nhiệt tình, chu đáo. Mỗi bạn điều khá thân thiên đối với tất cả khách hàng để họ có một meeting thú vị. Trải nghiệm ở đây của mình khá tốt và sẽ quay lại lần sau ở đây"
126,"Tôi uống nước dừa, rất mát và sạch, không gian sang trọng. Ban nhạc chơi rất tốt, ca sĩ nữ xinh đẹp và hát hay. nhân viên phục vụ rất nhiệt tình luôn luôn hỗ trợ tôi khi tôi thưởng thức nước ở đây.  Cảm ơn Nhi , Long , Thanh rất nhiều. Tôi sẽ quay lại đây lần nữa."
127,"Nãy tôi có đi tham dự tiệc rượu của Hầm Rượu Châu Á, nơi đây có không gian ấm cúng, trang trí rất đẹp, các nhân viên rất nhiệt tình và vui vẻ, đặt biệt là team banquet các bạn Tính, My, Khương, Nhi :)))"
128,"Tiệc rượu trang trọng, lịch sự cùng với rượu vang ngon không gian ấm cúng. Đặc biệt là nhân viên cực kỳ  thân thiện và nhiệt tình. Luôn tư vấn và phân tích đặc điểm của từng loại rượu. Chân thành cảm ơn My, cô nhân viên thân thiện nhất, luôn hỗ trợ khách hàng kịp lúc."
129,"Tôi rất ấn tượng với sự phục vụ nhiệt tình vào ngày hôm nay, các nhân viên như Mi, Thanh, Âu và Nhi luôn tận tâm với tôi mỗi lần tôi muốn uống trà. Phòng họp không tệ, có nhiều cửa sổ nên khá thoải mái"
130,"Cảm ơn khách sạn Renaissance đã có một team BQ hỗ trợ mình hết mìn, ngày hôm nay là một ngày tuyệt vời, cảm ơn các bạn sẻrver nhiệt tình: Trâm, Vinh, Thành, Thanh Tôi sẽ quay trở lại khi có dịp ghé thăm, quá tuyệt vời"
131,"Khong gian qua deg team server tot, Cac ban very nice, very sociu: Trâm, Tính, Thanh, My, Son, Vinh Toi se quay lai neu vo thoi gian Xin chan thanh cam on tat ca cac van take care mev   Very gooddd"
132,"Đồ ăn ngon, team phục vụ nhiệt tình: Trâm, thanh, tính, vinh, my, sơn không gian đẹp, vui vẻ, sang trọng Tôi sẽ quay lại nếu có thời gian, sẽ quay lại để dự những buổi tiệc sang trọng bậc nhất thượng thừa, cảm ơn team BQ rất nhiều"
133,"Không khí buổi tiệc hôm nay rất vui không gian khá là tuyệt vời các bạn nhân viên phục vụ rất chu đáotame care mọi người mọi lúc mọi nơi luôn luôn có mặt khi cần Cảm ơn Phú, Đăng, Sơn,Thanh, My đã phục vụ tụi mình hôm nay rất chu toàn"
134,"Không giảm quầy bar thoải mái, nhạc nhẹ nhàng, rất phù hợp cho buổi họp với  đối tác và khác hàng. Đồ ăn sáng  ' bánh mì thịt' tại Renaissance đẹp mắt và ngon . Nhân viên Châu, Vy, Hân phục vụ rất nhiệt tình, chu đáo. Sẽ chọn Rbar là không giảm họp lý tưởng"
135,"không gian đẹp, sạch sẽ, thoáng mát, phụ vụ thân thiện vui vẻ, nhiệt tình đặc biệt cảm ơn team banquet các bạn Tính, Phương, Trâm, Vinh, Khương, Nhật có view sông Sài gòn rất đẹpmón ăn phục vụ hợp khẩu vị"
136,"Hôm nay tôi có cơ hội tham gia meeting tại khách sạn Renaissance, nơi đây có không gian thoáng mát, có tầm nhìn ra sông Sài Gòn, đồ ăn ngon, các bạn take care rất tốt, đặc biệt là các bạn Tính, Phương, Vinh, Trâm, Khương. :))"
137,"Hôm nay tôi đi meeting tại khách sạn renaissance, nơi đây có  Không gian tháng mát, view sông.Các bạn phục vụ take care tốt đặc biệt cảm ơn các bạnTính, nhật, phương, trâm, vinh supported nhiệt tình."
138,"Phòng rộng và đẹp, view công viên Bạch đằng và Thủ thiêm. Các bạn lễ tân rất thân thiện, bạn Jax, Ruby, Nhi ,Rio. Nước welcome drink hoa đậu biếc rất thơm.  Nhà hàng thức ăn ngon, các bạn rất chu đáo và nhiệt tình,bạn Kha,Dũng,  Rose, Thuy . Cảm ơn tất cả mọi người 😀"
139,"Dịch vụ hội nghị vùa khách sạn rất chu đáo. Không gian khách sạn hoài cổ, ấm áp. View phòng họp có thể nhìn ra cả sông và thành phố. Đồ ăn và các loại nước uống ngon. Và các bạn phụ vụ rất dễ thương. Luôn hỗ trợ những lúc mình cần. Cám ơn bạn Âu, Thanh, My đã hỗ trợ mình để có một hội nghị thành công. Tuy có một chút sự cố nhỏ nhưng vẫn cảm ơn các bạn nhiều"
140,"Cảm ơn Tính ,Thanh và My đã hỗ trợ mình tận tình trong khâu chuẩn bị trong thời gian trước cuộc họp được diễn ra và trong quá trinh họp . Đặc biệt các bạn phục vụ rất tốt trong lúc giải lao từ đồ ăn đến thức uống .Hẹn gặp lại vào lần tới ."
141,"Các bạn phục vụ rất tận tâm và nhiệt tình, lại còn thân thiện, ngoài ra còn cực kì hỗ trợ cho mình về tất cả mọi việc, mình nhờ các bạn việc gì cũng hoàn thành rất tốt. Đặc biệt là các bạn như bạn Thanh, bạn Tính, bạn Nhật, bạn Nhi, bạn Trâm, bạn Vinh"
142,"Cảm ơn em Thanh , em Âu và anh quản lý Phương đã support team Vietravel 2 ngày vừa qua , các bạn nhan vien  luôn túc trực bên ngoài phòng họp khi mình cần hỗ trợ về âm thanh và thiết bị .Hẹn gặp các bạn lần sau."
143,"Phòng họp được setup gọn gàng , đẹp thoáng mát . Đồ ăn được chuẩn bị kĩ trang trí đẹp rất ngon , thức uống thì tuyệt vời , đặc biệt trà rất ngon .Cảm ơn bạn Âu , Thanh , My , Yến Nhi đã phục vụ nhiệt tình chu đáo ."
144,"Dịch vụ hội nghị tại khachs sạn rất tốt. Đồ ăn ngon. Hôm nay mình vào rất sớm để kiểm tra phòng hợp. Các bạn nhân viên dad giúp mình trong việc thay doi setup phut cuoi và phục vụ khách của mình rất tốt. Cảm ơn các bạn Thanh, Âu. My, Phương, Nhi đã gỗ trợ mình"
145,"Mình đước nhân viên ở đây đón tiếp rất nhiệt tình. Nhất là bạn nữ tên Châu đã giới thiệu cho mình Cooktail rất ngon và hướng dẫn mình nhiều địa điểm vui chơi tại Sài Gòn. Về phòng sạch sẽ, có mùi thơm dễ chịu. Khaách sạn có nhiều góc chụp sống ảo đẹp ạ tha hồ check in"
146,"Hôm nay toii đi họp báo của cô Như Quỳnh, rất vui và hài lòng, đồ ăn hài lòng, hơi ngọt nhưng rất ngon, không gian thoáng mát, có tầm nhìn đẹp, đặc biệt cảm ơn các bạn Tính, Thanh,Phương, My, Trâm, Vinh, Khương"
147,"Hôm nay ngày 1/11/2022, chúng tôi công ty GiaiTriViet tổ chức họp báo liveshow The Best Of Như Quỳnh, họp báo được Khách sạn hỗ trợ nhiệt tình về setup, không gian rộng rãi thoáng mát, các bạn nhân viên nhiệt tình hỗ trợ. Tuyệt vời 🥰🥰🥰Tính, Thanh, Phương, My, Vinh, Khương, Trâm"
148,"Không gian sang trọng, thoáng mát. Chất lượng phục vụ tốt, chu đáo. Đồ ăn ngon, sạch và hợp miệng. Nhân viên tận tình, hỗ trợ khách hàng nhanh chóng, chu đáo và kỹ càngTính, Thanh, Phương, My, Vinh, Trâm"
149,"Các anh chị Tính, Thanh, Phương , My, Vinh, Trâm các anh chị nhân viên nhiệt tình, take care khách mời chuyên nghiệp,thân thiện tạo cảm giác thoải mái cho mọi người, chuẩn bị chu đáo và sạch sẽ. Xin cảm ơn"
150,Tôi cảm thấy hài lòngĐồ ăn ngon Dịch vu tốtKhông gian đẹpPhù hợp cho các sự kiện và gia đìnhTôi nghĩ sẽ đến tronh lần sau và giới thiệu cho bạn bè đến……………Nhân viên phục vụTính - Thanh - Phương - My - Vinh - Trăm
151,"Lần đầu trải nghiệm tại khách sạn tôi cảm thấy khá hài lòng. Khách sạn sạch sẽ, dịch vụ tốt, nhân viên thân thiện. Nếu có lần sau sẽ tiếp tục trải nghiệm Các nhân viên tốt: Tính, Thanh, Phương, My, Vinh, Âu, Trâm"
152,"Nơi tổ chức tiệc sang trọng , vị trí dễ tìm , có view hướng ra sông và thành phố rất đẹpĐồ ăn được trang trí đẹp , đặc biệt rất ngon ( có 1 số món hơi cay đối với một số người trong bàn )Nhân viên phục vụ tận tình chu đáo , cảm ơn Thanh , Tính đã take care bàn mình rất tốt"
153,"Buổi sinh nhật 12 năm nhà Bitexco diễn ra rất ấm cúng  và vui vẻ . Không gian phòng tiệc sang trọng , đồ ăn hợp khẩu vị của mình rất tuyệt Cảm ơn các bạn phục vụ  Tính ,Âu , Thanh phục vụ bàn mình râga vui vẻ và nhiệt tình. Cảm ơn các bạn rất nhiều nha"
154,"Teams phục vụ rất tốt, nhanh nhẹn, chu đáo cực kỳ nhất là Vinh,Phương,Mi,Âu,Trâm rất nhanh nhẹn nhé, cần gì là phục vụ lập tức, không gian lại sang trọng đẹp, lịch lãm vị trí lại đắt địa, thuận tiện dễ tìm. Sẽ quay lại"
155,"Không gian đẹp, không khí sôi động. Dồ ăn ngon, hợp khẩu vị. Các bạn phục vụ rất nhiệt tình, chuyên nghiệp, luôn có mặt khi mình cần. Cảm ơn các bạn Âu, Phương, My đã hỗ trợ mình có một bữa tối vui vẻ"
156,"Nhân viên chu đáo, nhiệt tình hết mức, dễ thương nhanh nhẹn đặc biệt là Mi, Trâm, Thanh, Phương, Vinh, Tính, Âu cả teams rất là chu đáo làm việc hết công suất. Không gian sang trọng, đẹp, bắt mắt nằm ngay vị trí thuận tiện dễ tìm lắm. Rất ok"
157,"Nhân viên nhiejet tình., Chu đáo, dễ thưowg, nhanh nhẹn rất hoạt bát đặc biệt là Mi, Trâm, Thanh, Phương, Vinh, Âu Tính rất lễ phép và nhanh nhẹnKhông gian rất sang trọng, mát, đẹp địa điểm lại dễ tìm nằm ngay trung tâm. Sẽ quay lại"
158,"Nhân viên rất nhiệt tình nhé, chu đáo, dễ thương lắm đặc biệt là : Mi, Trâm, Tính, Phương, Thanh, Vinh, Âu rất dễ thương chu đáo cực. Địa điểm thuận tiện nằm ngay trung tâm dễ tìm dễ di chuyển sẽ quay lại"
159,"Không gian thoải mái, trang trí rất đẹp, thức ăn ngon, hình thức chỉn chu, wifi tốt. Các bạn nhân viên phục vụ tốt, dễ thương: Trâm, Phương, Thanh, My, Tín, Vy. Tóm lại, cực kì hài lòng về dịch vụ và thái độ."
160,"Không gian đẹp, sang trọng, phục vụ nhiệt tình, chu đáo, nhanh nhẹn đặc biệt là: Trâm, Mi, Thành, Phương, Vinh, Âu, Tính rất nhiệt tình sẽ quay lại ạ Khách sạn nằm ngay trung tâm rất dễ để di chuyển .."
161,"Chất lượng dịch vụ tốt, với các món ăn ngon (hơi cay so với nhiều người), các bạn nhân viên bàn thân thiện, dễ thương, phục vụ chu đáo, hỗ trợ khách hàng.Nhân viên: Vy, Khương, Trâm, Âu, Trinh, Thành."
162,"Một buổi họp mặt đầy vui vẻ kỷ niệm 12 năm tại khách sạn Renaissance Riverside Sài Gòn. Tôi cảm thấy rất hài lòng về thái độ phục vụ của các bạn nhân viên tại đây, cảm ơn Vinh, Thanh, Khương,Trâm vì đã chăm sóc bàn tôi NICEEEEEE. Đồ ăn thức uống ngon miệng, so guddddd"
163,"Không gian sang trọng được bày trí đẹp mắt , view chup hình sống ảo đẹp,  đồ ăn thức uống ngon miệng hợp khẩu vị , nhân viên phục vụ nhiệt tình chu đáo quan tâm đên khách . Cảm ơn bạn Trâm , Trinh , Thanh , Vinh , Âu , Tính đã giúp đỡ mình trong suốt buổi tiệc"
164,"Một buổi chiều thoải mái cùng gia đình, thưởng thức trà ngon, các loại bánh ngọt đa dạng. Nhân viên Vy, Linh, Nhi phục vụ tận tình, vui vẻ và thân thiện. Không gian đẹp mát mẻ và ngắm đường phố rất vui"
165,"Tôi rất thích không gian của Renaissance, đồ ăn hơi ngọt nhưng rất ngon và hợp với tôi, cà phê chất lượng ngon và đặc biệt chất lượng phục vụ tốt, cảm ơn team banquet đặc biệt là Thanh, Tính, My, Thanks you"
166,"Không gian sang trọng, bàn ghế gọn gàng và êm ái, đồ ăn ngon, trang trí đẹp mắt, nhân viên phục vụ nhiệt tình. Nhân viên: Thanh, Phương, Yến Nhi, hỗ trợ nhiệt tình trước trong và sau sự kiện của ESG - Tương lai Việt Nam"
167,"khách sạn có view phòng họp đẹp hướng ra sông Bạch Đằng, thức ăn bày trí đẹp mắt và ngon miệng, nhân viên rất nhiệt tình, cám ơn Phương, My, Âu đã hỗ trợ nhóm của chúng tôi với các yêu cầu thay đổi bất ngờ"
168,"Nhân viên thân thiện, nhiệt tình, vui vẻ, không gian khách sạn thoáng mát, rộng rãi. Nếu có cơ hội, tôi vẫn muốn quay lại. Cảm ơn em Đăng, em Âu, anh quản lý tên Phương! Khách sạn có view nhìn sang Thủ Thiêm, view thoáng mát, chụp ảnh sống ảo đẹp."
169,"Những lúc tâm trạng không vui, đi uống 1 ly cocktails sẽ là lựa chọn không tồi. Thanks Mr Long bartender đã làm cho tôi 1 ly nước có thể lấy lại được tinh thần nè ❤❤❤. Các bạn nhân viên Rbar Mr Sơn, Ms Linh, Ms Hân rất thân thiện và nhiệt tình luôn. Có dịp tôi sẽ quay lại ❤❤❤❤❤❤"
170,"do an ngonnhan vien phuc vu nhiet tinh: Phuong, Tram, Thanh, My khong gian am ap, moi thu deu rat chuyen nghiep, rat vui khi den day và se quay tro lai, cam on tat ca mn da mang den trai nghiem tuyet voi cho toi, hahahhhhhhhhhhhhhhhhhhhhhhhhhhhhh"
171,"Dịch vụ hoàn hảo, phục vụ tận tình chu đáo, đồ ăn nước uống ngon. Tôi rất vui khi được nhân viên Đăng,Thanh, Phương, Âu phục vụ chu đáo tận tình. Phòng họp rất đẹp có view ngắm toàn thành phố. Good job."
172,"Một trải nghiệm dịch vụ tuyệt vời tại Renaissance, cảm ơn các bạn Đăng, Phương, Thanh, Ân đã nhiệt tình hỗ trợ Prudential trong suốt ngày hội thảo, đúng với chủ đề hôm nay: Hành trình trải nghiệm WOW!"
173,"Một bữa tối vui vẻ, ngon miệng bên gia đình thân yêu😍. Món ăn ở đây ngon, trình bày đẹp mắt. Đặc biệt các bạn nhân viên phục vụ rất nhiệt tình, thân thiện. Rất cám ơn bạn Đăng đã rất tinh tế khi quan sát và kịp thời nhận biết khách cần gì là đáp ứng liền luôn😍"
174,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình, thân thiện, nhất là những bạn My, Nghi, Thanh. Không gian rộng rãi đẹp mắt. Trong tương lai nếu có fipj chắc chắn sẽ quay lại đặt tiệc vì thái độ phục vụ quá tốt"
175,"Hôm nay mình dự tiệc gia đình của mình tại Khách sạn, được các bạn nhân viên Nghi, My , Phương, Thanh said phục vụ rất chu đáo và nhiệt tình ạ, các bạn take care rất tốt từng người và luôn để ý mng cần gì để hỗ trợ . Cảm ơn các bạn rất nhiều ❤️ Chúc  khách sạn và các bạn ngày càng phát triển 💯"
176,"Tôi rất hài lòng với mọi thứ nhà hàng, không gian thoải mái, đồ ăn ngon, nhân viên phục vụ nhiệt tình, đặc biệt bạn Nhi rất tốt, thái độ rất chuyên nghiệp, nên thêm tí âm nhạc nhẹ, tôi sẽ quay lại vào những lần sau"
177,"Rất đáng để quay lại . Đồ ăn ngon kèm theo thức uống tuyệt vời , tuy nhiên món gà hơi khô cần phải cải thiện . Nhân viên nhiệt tình vui vẻ take care khách rất tốt . Sẽ đến vào những lần sau . Chân thành cám ơn"
178,"Đội ngũ nhân viên set up phòng họp tuyệt vời. Đáp ứng những yêu cầu phát sinh của cuộc họp. Đặc biệt bạn Nhật, Phương, Thanh và đội ngũ team banquet hỗ trợ rất nhiệt tình và chuyên nghiệp. Cảm ơn khách sạn và team banquet. Sẽ quay lại và ủng hộ khách sạn trong những lần tới."
179,"Trải nghiệm tuyệt vời khi tới dùng bữa tối cùng gia đình tại VietKitchen. Nhân viên luôn hỗ trợ nhiệt tình. Món ăn ngon , vừa miệng rất đa dạng có cả kem cho các bé tráng miệng. Không gian ấm cúng với tông màu vàng có thể ngắm cả đường phố xe cộ qua lại rất tuyệt vời . Cám ơn các bạn"
180,"Công ty tôi có tiệc buffet tại khách sạn. Tôi thực sự rất thất vọng về dịch vụ tại đây, thức ăn nghèo nàn, đĩa đã dùng rồi không được dọn thường xuyên. Ngoài ra các dụng cụ kẹp thức ăn không đủ, phải dùng chung 1 cái để gắp từ các đĩa sashimi khác nhau nên rất đông người phải đợi nhau. Quầy thịt nướng có 1 miếng đùi rất to thì không để dao xắt lát nên khi khách dùng hết những miếng thịt đã xắt sẵn thì không thể lấy thêm được nữa vì không có dao xắt và không có nhân viên bếp để xắt thêm cho khách mãi đến 30 phút sau. Hy vọng dịch vụ nhà hàng sẽ cải thiện tốt hơn vì so với các khách sạn khác trong Marriot thì tôi thấy nơi đây là tệ nhất."
181,"Phòng sạch sẽ, view đẹp.Nhân viên thân thiện, dễ thương từ khâu check in, concierge đến làm phòng, nhà hàngThức ăn rất ngonCảm ơn các bạn đã cho gia đình chúng tôi một kỳ nghỉ thật thoải mái và đáng nhớWill be backLove you all"
182,"Tôi đặt bàn cho 2 người. Bàn cửa sổ cod view sông đẹp và thoải mái.rất hài lòng về cung cách phục vụ,món ăn đa dạng phong phú. hàu sống và bò rất ngon. Nhân viên vui vẻ nhiệt tình bạn Tuấn Anh. Trinh. Thơ rất tận tình vui vẻ."
183,"Hôm nay CANON có tổ chức sự kiện tại đây để cám ơn các thành viên của gia đình CANON cũng là dịp để mọi người gần gũi nhau hơn. Mở đầu chương trình ở 5F/ Atrium Lounge cho các bé nhỏ vui chơi và tiệc teabreak trang trí đẹp, đồ ăn ngon, sạch sẽ và không gian thoải mái. Sau đó mọi người dời xuống tầng G để thưởng thức buffet trưa. Nhân viên rất nhiệt tình gợi ý chỗ ngồi và sau đó hàng loạt thức ăn hấp dẫn hiện ra rất tươi ngon và nóng giòn, các món âu á đủ cả. Thức ăn rất tươi nhất là tôm cua và được fill liên tục. Không gian đẹp, thức ăn ngon, sạch sẽ và không thể không nhắc đến các nhân viên Tam, Vy, Duyen rất nhiệt tình hỗ trợ và thái độ cực kỳ thân thiện. Cảm ơn Renaissance, cảm ơn các bạn nhân viên đã cho mình một trải nghiệm tuyệt vời <3"
