JbGkU,orRIx
Thích HAVANA nhất ❤️,"Lần đầu ở Havana, không ngờ mọi thứ vượt xa mong đợi! Phòng ngắm được biển ở cự ly rất gần, đồ ăn sáng phong phú và hợp khẩu vị, các bạn tiếp tân xinh và nhiệt tình hướng dẫn các địa điểm tham quan tại Nha Trang cho mình! Mình sẽ quay lại vào dịp Tết này!"
HAVANA TUYỆT VỜI 👍🏾,"chúng tôi vừa kết thúc kỳ nghỉ tại KS HAVANA , mọi thứ đều rất tuyệt vời ! Chúng tôi cực kỳ hài lòng với dịch vụ và đặc biệt là nhân viên lễ tân ở đây! Các bạn làm chúng tôi cảm thấy như khách vip mặc dù giá phòng rất ưu đãi 👏👏👏"
"Khách sạn rất chu đáo, nhiệt tình","Mình vừa có kỳ nghỉ cùng ny tại đây, ks rất nhiệt tình, vui vẻ, hỗ trợ nhiệt tình. Phòng rất đẹp và sạch sẽ, ngay mặt tiền biển Trần Phú. Có bãi đậu xe hơi riêng ko mất phí, ngay trung tâm thuận tiện đi chơi. Có dịp sẽ quay lại ♥️"
Tuyệt vời,"Mình ở phòng 2739 (16/09-17/09/2022) đây có lẽ là một trong những khách sạn có view đẹp nhất nhì thành phố nha trang mà mình đã từng ơi, 1 trải nghiệm tuyệt vời khi mọi thứ rất tốt, phòng thì sạch sẽ, dịch vụ tốt, đồ ăn ngon, sẽ là lựa chọn ưu tiên hàng đầu nếu có dịp quay lại thành phố này."
Kì nghỉ tuyệt vời!,"Gia đình chúng tôi đã có một kì nghỉ tuyệt vời tại Havana, buffet sáng đa dạng với nhiều sự lựa chọn,hồ bơi cho các bé nhỏ thỏa sức vui chơi và đặc biệt có đường hầm qua biển rất an toàn cho gia đình có trẻ nhỏ như chúng tôi.Xin chân thành cám ơn ms.Tường Ny(F.o) và ms.Phượng (spa) đã chăm sóc đoàn chúng tôi rất kĩ lưỡng.Chúng tôi nhất định sẽ còn trở lại nhiều lần nữa."
Khách sạn tuyệt vời!,"Trải nghiệm tuyệt vời tại Khách sạn Havana Nha Trang.Khách sạn có phòng view đẹp, sạch sẽ và đội ngũ nhân viên thân thiện, đặc biệt là Lễ tân, Buồng Phòng, nhà hàng, khu vực bể bơi và khu bãi tắm - rất nhiệt tình, riêng bảo vệ cần chú ý hơn.Khách sạn có đường hầm đi ra biển rất thuận tiện cho khách và sân thượng SkyBar rất sôi động Cảm ơn BGĐ và NV đã giúp gia đình tôi có kỳ nghỉ tuyệt vời, chúng tôi sẽ quay lại Khách sạn Havana trong thời gian tới!"
Du Lịch Thế Giới đánh giá 5 sao cho khách sạn Havana,"Cty Du Lịch Thế Giới có đoàn ở ngày 13-15/8/2022 đoàn 100 khách ở  Khách sạn dịch vụ  rất tốt, nhân viên rất nhiệt tình ,đánh giá 5 sao cho khách sạn tôi sẽ quay trở lại ủng hộ khách sạn. Đặc biệt skylight rất đẹp về đêm buffet ngon và nhiều món,cảm ơn khách sạn  đã hỗ trợ rất nhiều."
10 điểm,"Mình ở đây 3 ngày , trải nghiệm các dịch vụ ở đây rất tốt , các bạn lễ tân luôn vui vẻ nhiệt tình giúp đỡ. Ăn tối có 2 set menu đặc sản và hải sản rất tiện để mình chọn lựa mà không cần đi đâu xa.  Nếu có dịp quay lại chắc chắn sẽ chọn Havana . Cảm ơn các bạn nhiều . See ya next time!! With love"
Một kì nghỉ tuyệt vời,"Nhân viên thân thiện , lúc tôi vào nhận phòng thì có các bạn hỗ trợ rất nhiệt tình và các bạn đã hỗ trợ tôi để tôi nhận được phòng sớm , phòng có view đẹp nhìn ra được Vinpearl land . Đồ ăn sáng nhiều loại . Có cơ hội thì tôi sẽ quay lại để ở ."
Ks havana,"-Giá phòng hợp lý,vị trí tuyệt vời,view trước khách sạn là biển, có đường hầm riêng biệt ra thẳng bãi biển thuận lợi cho các gia đình có con nhỏ.- Nhà hàng bên trong khách sạn giá phù hợp,menu ăn linh hoạt.- Phòng ở thoáng, có nhiều option để khách lựa chọnview biển đẹp.- Nhân viên thân thiện. - Tầng 41có quán bar rất đẹp, nhìn toàn cảnh thành phố, giá nước cũng rẻ .- Tầng 5 có hồ bơi, xông hơi kèm theo phòng chơi cho các bé.Túm lại, gđ sẽ tiếp tục ủng hộ ks mỗi dịp ghé Nha Trang"
Đáng giá,"Giá phòng rẻ , vị trí tuyệt vời, trước khách sạn là biển, có đường hầm, nhà hàng bên trong khách sạn ngon và giá phù hợp, phòng rộng, nhìn ra biển đẹp.nhân viên thân thiện.trên sân thượng có quán bar rất đẹp, nhìn toàn cảnh thành phố, giá nước cũng rẻ .tầng 5 có hồ bơi, xông hơi. hồ bơi nhìn ra biển."
HAVANA XỨNG ĐÁNG 5 SAO,"Khách sạn HAVANA tốt vượt mong đợi của chúng tôi! Đầy đủ tiện nghi và dịch vụ, nhân viên rất dễ thương và hỗ trợ thông tin du lịch rất tốt, chắc chắn lần sau chúng tôi sẽ lựa chọn Havana là điểm đến tại Nha Trang !"
Hài lòng,"Gần đây mình đã có dịp trải nghiệm các dịch vụ tại khách sạn Havana Nha Trang. Tuy đang trong giai đoạn cao điểm, khách sạn đón rất nhiều khách mỗi ngày nhưng mọi thủ tục đều được xử lí rất linh hoạt và nhanh chóng. Bên cạnh đó khách sạn đang có rất nhiều ưu đãi cho khách hàng như voucher dùng bữa ăn nhẹ, uống trà sữa, spa, vé skylight & havana club. Phòng có view biển đẹp, sạch sẽ, đầy đủ tiện nghi. Nhân viên thân thiện, nhiệt tình hỗ trợ khách."
HAVANA rất ok,"Tôi cùng gia đình đã có chuyến nghỉ dưỡng tại Nhà Trang và lựa chọn KS havana là nơi dừng chân! Vô cùng ưng ủa với phòng ốc, view phòng và dịch vụ tại đây!Nhà hàng rất nhiều món ngon! Chắc chắn chúng tôi sẽ quay trở lại ! Cảm ơn HAVANA ❤️"
rất hài lòng.,"phòng sạch sẽ, gọn gàng, ngăn lắp, đầy đủ đồ dùng tiện nghi, thích hợp với tất cả mọi người. Khách sạn quá tuyệt vời, từ con người đến cơ sở vật chật, dịch vụ. Mình rất hài lòng khi dừng chân tại khách sạn này và được trải nghiệm..."
Du lịch Nha Trang,"Khách sạn quá tuyệt vời, từ con người đến cơ sở vật chật, dịch vụ. Mình rất hài lòng khi dừng chân tại khách sạn này và được trải nghiệm tất cả những dịch vụ chăm sóc khách du lịch nơi đây. Nhân viên thân thiện, hướng dẫn chăm sóc tận tình, khách sạn 5 sao nên ko có hạt bụi nào luôn"
Havana mãi đỉnn,"Khách sạn nằm ở vị trí tuyệt vời lắm, nhìn rõ bờ biển xanh nhâ viên phục vụ nhiệt tình , phòng ốc tiện nghi sạch sẽ, món ăn ngon hợp khẩu vị, nếu có cơ hội đc đi du lịch và trải nghiệm chắc chắn gia đình tôi sẽ lựa chọn havana 1 lần nữa."
Havana tuyệt vời,"Chúng tôi đã có kỳ nghỉ dưỡng thật tuyệt vời tại khách sạn 5 sao Havana tại Nha trang. Vị trí trung tâm sát biển chỉ cần đi bộ 5p đã đến quảng trường. Phòng rất đẹp và nc thân thiện chuyên nghiệp, đặc biệt là Ny và LPhương lễ Tân 👍"
HAVANA số 1 Nha Trang,"Cảm ơn KS havana đã giúp gia đình tôi có 1 chuyến nghỉ dưỡng tuyệt vời ! Nhân viên thân thiện nhiệt tình, giá phòng ưu đãi, được upgrade phòng view biển đẹp vô cùng! Đặc biệt gđ tôi rất ấn tượng với đường hầm ra biển duy nhất tại Việt Nam"
Havana Hotel - khách sạn nên trải nghiệm,"Khách sạn tọa lạc trên đường Trần Phú, View  biển rất đẹp, phòng sạch sẽ, nhân viên thân thiện, nhiệt tình. Đặc biệt, khách sạn duy nhất tại Nha Trang có bar trên cao, Cuối tuần lên skylight tại khách sạn check in, nhìn toàn cảnh Nha Trang từ trên cao về đêm thật sự rất tuyệt vời"
Chuyến nghỉ dưỡng mùa hè cùng với gia đình,"Rất hài lòng về chất lượng dịch vụ và thái độ của nhân viên, chăm sóc khách hàng rất tốt, rất chu đáo. Khách sạn có view rất đẹp, phòng ốc sạch sẽ, thoáng mát. Các món buffet ăn sáng cũng rất ngon, đa dạng các loại món ăn. Nhất định sẽ quay lại vào lần tiếp theo."
Bốn bể là nhà,"Khách sạn rất là tuyệt zời từ view biển biển đến tất cả các dịch vụ trong khách sạn. Nhân viên thì thân thiện và nhiệt tình làm việc rât chuyên nghiệp. Nếu mai này có dịp quay lại Nha Trang tôi vẫn sẽ chọn Havana Hotel để ""đáp cánh""."
Nơi nghĩ dưỡng tuyệt vời ❤️,Tôi đã được trải nghiệm ở khách sạn Havana dịch vụ ở đây phải nói là trên cả tuyệt vời. Nhân viên ở đây thái độ rất thân thiện đồ ăn nhà hàng rất ngon. Dịch vụ Spa thì khỏi phải nói. Giúp Tôi và gia đình của mình có một chuyến đi thật thú vị tôi sẽ gặp lại nếu có dịp.
"Havana phòng đẹp, nhân viên dễ thương cực kì. Anh Nhựt rất dễ thương, hỗ trợ mình tích cực nâng cấp hạng phòng veiw đẹp","Phòng đẹp. Sang. Xịn. Mịn. Nhân viên rất dễ thương luôn ạ. Havana phòng đẹp, nhân viên dễ thương cực kì. Anh Nhựt rất dễ thương, hỗ trợ mình tích cực nâng cấp hạng phòng veiw đẹp đỉnhCảm ơn Havana Nha Trang Hotel Sẽ quay lại và tiếp tục ủng hộ Havana ạ"
Kỳ nghỉ tuyệt vời,"Hôm trước mình có đến ở khách sạn này. View đẹp hướng biển, nhân viên nhiệt tình thân thiện với khách lắm , còn được tặng thêm  voucher ăn nhẹ với đi skylight. Thích thật đấy , rất đáng để đi và trải nghiệm . Đánh giá 5sao luôn, nên đi nha mọi người :"""""""""
Best of Nha Trang,"Khách sạn to ơi là to , rộng rãi thoải mái . Nhân viên thì quá dễ thương, lúc nào cũng nhẹ nhàng và nhiệt tình .  Lần nào đến Nha Trang cũng sẽ ở Havana vì ngay trung tâm , đi đâu cũng dễ . Đồ ăn sáng hợp gu , nhiều món thuần việt nam đặc biệt là bánh cuốn, xôi , phở ."
Ấn tượng với mọi thứ trong khách sạn,"Rất ấn tượng với mọi thứ, tất cả nhân viên đều chuyên nghiệp và dễ thương, phòng ốc cực kỳ sạch sẽ và làm mình cùng bạn bè rất hài lòng, buffet sáng hấp dẫn, bể bơi thì view đẹp. Nói chung mọi thứ rất ổn cho một kỳ nghỉ tại đây"
Havana Nha Trang,"Khách sạn ngay mặt biển trung tâm rất tiện lợiPhòng rộng và đều thấy biển .tụi mình được tặng ăn nhẹ,lên quán bar trên nóc tòa nhà cực đỉnh. Ăn sáng trên tầng 41 hướng đẹp . Mấy anh chị lễ tân rất vui vẻ và giúp đỡ nhiềuMọi thứ ở đây rât thuận tiện và thoải máiGét go Havana."
Tuyệt vời,"Khách sạn tuyệt vời, view đẹp ngay trung tâm thành phố, nhân viên nhiệt tình dễ thương kèm theo đó được tặng các voucher rất hấp dẫn, có cả skylight  là một nơi rất đáng đến trải nghiệm. Phòng đẹp,rộng rãi, thoáng mát, sạch sẽ. Xứng đáng đạt 5 sao. Very good good💯💯"
HAVANA HOTEL,"khách sạn havana là một khách sạn tuyệt vời, nằm ngay vị trí trung tâm  rất là tuyệt, mát mẻ, vừa có tầng hầm đi ra biển không phải sợ xe cộ, nhân viên nhiệt tình,dễ thương,vừa rồi đã nghĩ dưỡng tại đấy 3 ngày 2 đêm và cảm nhận rất là ưng ý, tiện nghi đầy đủ"
Good Good,"Ngạc nhiên vì ngày nghỉ lễ lại có thể book Havana giá siêu siêu rẻ. Havana có đường hầm đi bộ sang biển. Các phòng thường ở đây cũng đều có bồn tắm riêng. Ngày check out, do m bay muộn nên các bạn nhân viên còn dễ thương cho m trả muộn. Tóm lại, lần sau quay lại, chắc chắn mình sẽ chọn Havana tiếp, giá ổn, ngay trung tâm, nv dễ thương nữa."
Khách sạn dễ thương nhất quả đất,"Thật tuyệt vời khi đến cả các con nhỏ trong đoàn cũng đánh giá dịch vụ của khách sạn rất tốt, các cô chú rất dễ thương và nhiệt tình, hẹn lần sau tới Nha Trang vẫn sẽ lựa chọn Havana. Cám ơn rất nhiều vì cả đoàn đã có một kì nghỉ tuyệt vời."
Hè sớm năm t2 Covid,"Quyết định đi NT chỉ 1 tuần trước khi nghỉ. Khi bên đại lý đưa ra suggest 1 vài khách sạn, m ko ưng nên đã tự tìm và book Havana. Thật bất ngờ vì ngày nghỉ lễ lại có thể book Havana giá siêu siêu rẻ.Điều m thik nhất ở Havana là có đường hầm đi bộ sang biển. Con gái m cứ wow wow với khám phá này. Điều nữa là các phòng thường ở đây cũng đều có bồn tắm riêng, nhà nào có trẻ con chắc sẽ rất thik.Ngày check out, do m bay muộn nên các bạn nhân viên còn dễ thương cho m trả muộn.Tóm lại, lần sau quay lại, chắc chắn m sẽ chọn Havana tiếp, giá ổn, ngay trung tâm, nv dễ thương nữa, chẳng chê đc điểm nào."
Perfect,"Các bạn nhân viên rất chu đáo, tuy đoàn mình đi vào mùa dịch, nhưng tất cả đều được phục vụ rất nhanh chóng. Đồ ăn buổi sáng phong phú, đặc biệt nước lèo món phở rất ngon :)Vị trí rất thuận tiện, ks có bãi biển riêng.... Phòng đẹp lắm lắm :)Cảm ơn Havana"
tuyệt vời,"Khách sạn đẹp, tiêu chuẩn 5 sao , nằm ngay vị trí đắc địa. đặc biệt, có đường hầm thông ra biển. tiện lợi cho gia đình có em bé nhỏ đi ra biển an toàn. phòng khách sạn rất đẹp và đa dạng các loại phòng ( nhiều loại thông nhau , rất thích hợp cho sự lựa chọn của gia đình lớn)."
Special thanks to FB.FO Havana hotel,"Trong tháng 6 vừa rồi mình và gia đình có lưu trú tại ks Havana nha trang,4n3d 1 bạn nam và nữ ở quay le tân hướng mình rất nhiệt tình mình ko nhớ tên (xin lỗi 2 bạn nhé)Mình ấn tượng với tất cả nhân viên nhà hàng và Bạn Qly Minh là những siêu nhân khi phục vụ mỗi bữa ăn sáng cả nghìn suất ăn cho khách rất smooth ko thấy rắc rối j 😍 các anh chị tại quầy trứng và bún thực sự rất chiều chuộng khách! Làm món trứng cuộn mình yêu thích 😻 Các bạn nên ăn món cải bắp xào ở bữa sáng rất ngon!Món cháo ở đây nếu có thêm trứng muối và trứng bách thảo thì ngon hơn nhiều!Dịch vụ dọn phòng rất nhanh, yêu cầu nước miễn phí các bạn nên Tip cho pv 20k để cảm ơn các bạn ý nhé 😄"
Dịch vụ tuyệt vời,"Mình đi cùng gia đình vào dịp cuối tháng 6, ở phòng gia đình, phòng rộng 65m2, mùa hè nhưng lại đc giá cực ưu đãi, tặng thêm cả trà chiều. Nhân viên thân thiện dễ thương. Hồ bơi, xông hơi, gym, spa đầy đủ, có cả đường hầm dẫn ra biển, ko phải qua đường. Chắc chắn sẽ quay lại 👍"
Đánh giá chất lượng dịch vụ,"Khách sạn đạt chuẩn 5* , phòng rộng thoáng và có hướng nhìn ra biển rất đẹp , nhân viên vui vẻ, thân thiện ,nhiệt tình, ẩm thực phong phú và rất ngon. Khách sạn rất quan tâm và chu đáo. Có đường hầm ra biển riêng biệt an toàn."
Chưa hài lòng,"Đánh giá 3 sao là có 2 lí do tôi không hài lòng, thứ nhất là tại sao lễ tân lại có quyền giữ lại passport của khách trong khi đó đã scan và photocopy giữ lại trên hệ thống, tôi đã ở nhiều chuỗi khách sạn của Best Western chưa có nơi nào giữ lại passport của tui cả! Thứ nhì là khi tôi và chồng người nước ngoài khi tối về lại khách sạn thì có bảo vệ đã cố tình mở cửa thang máy để nhìn tôi khi thang máy đang đóng cửa? Có phải ý là định khám xét và xem tôi như cave hay không? 2 tình trạng này cần được khách sạn xem xét và nâng cao huấn luyện lại cho nhân viên, còn lại mọi thứ đều tốt."
"Đánh giá khách sạn Havana , Nha Trang","Nhân viên lễ tân thái độ niềm nở, phục vụ nhiệt tình, nhất là Hoài Phương, Tố Uyên, anh Huy.Đối với Bell thì luôn xách hành lý cho khách, mỉm cười với khách như là Minh Phước, Tú.Nhân viên lau dọn cửa kính rất là sạch sẽ nhất là chị Dân.Rất hài lòng về khách sạn !"
Nơi tuyệt vời!!,"Mình vừa có chuyến kỉ niệm ngày cưới ở Havana. Phải nói là rất tuyệt vời với bánh kem và trái cây chào đón. 2 năm nay nhà mình luôn chọn Havana là điểm nghỉ ngơi khi tới Nha Trang. Mình luôn được nâng cấp lên hạng phòng 80m2. Vợ chồng mình cùng 2 bé  đều rất thích. Phòng rộng rãi, sạch sẽ, nhìn ra biển thật thư giãn. Bọn nhỏ rất thích bể bơi. Ông xã mình thích phòng tập, còn mình yêu thích phòng xông hơi. Mọi thành viên trong nhà đều rất rất hài lòng. Từ các bạn an ninh ngoài khách sạn, các bạn phụ giúp mang hành lý, lễ tân, bạn phục vụ cafe sáng, đặc biệt là chị đầu bếp trong phòng ăn sáng rất vui vẻ, nhẹ nhàng, nhiệt tình. Sáng nào cũng có quản lý tới hỏi thăm coi nhà mình cảm thấy thế nào. Nói chung đội ngũ làm việc ở đây tác phong chuyên nghiệp. Ân cần. Phải nói rằng mọi thứ đều tuyệt vời. Ngay khi về đến nhà là mình lại đặt thêm 2 phòng nữa cho chuyến nghỉ tết âm lịch sắp tới. Chắc chắn sẽ lại là sự hài lòng tuyệt đối rồi.Cám ơn khách sạn. Chúc mọi người sẽ có những ngày nghỉ vui vẻ hạnh phúc."
Awesome,Tôi có chuyến ghé thăm Nha Trang trong tháng 12 và đã chọn Havana làm điểm dừng chân của mình. Vì tôi bị delay chuyến bay nên tới khách sạn hơi trễ và đã được bạn NV Sơn giúp tôi early check in để kịp công việc tiếp theo. KS có dịch vụ tốt và NV nhiệt tình thân thiện vui vẻ. Tôi sẽ vẫn chọn Havana là điểm dừng chân mỗi khi đến với Nha Trang
Havana 5star To Uyen,"Khách sạn tốt tại ngay trung tâm thành phố và giáp biển, phòng ốc rất sạch sẽ, rộng rãi và sang trọng.Mình đến khách sạn lúc 10h sáng và được hỗ trợ nhận phòng sớm phòng 4 tiếng và được nâng hạng phòng cao hơn phòng đã đặt nhưng không mất phí.Nhân viên khách sạn rất niềm nở và tận tình.Một trải nghiệm thật tuyệt vời."
Trải nghiệm tuyệt vời,"Mình đặt phòng giúp bạn mình, phòng rộng, giường king lớn 180 độ view biển, phòng tắm thoải mái với bồn tắm massage nhìn ra toàn cảnh vịnh Nha Trang, nhân viên thân thiện nhiệt tình, đặc biệt là chị quản lý tên Ni, do khách có nhu cầu chụp ảnh cảnh biển nên đã được chị và các bạn nhân viên Ks hỗ trợ miễn phí đổi phòng tầng cao view đẹp. Đặt qua nhiều ks ở Nha Trang nhưng vẫn thấy phong cách của Havana là chuyên nghiệp và chiều khách nhất :)"
Hài lòng,"Nhân viên nhiệt tìnhPhòng đẹp, thoáng mátĐồ ăn ngon, an toàn thực phẩmSạch sẽ, thư giãnThiết bị tiện nghiChúng tôi đặt trọn gói của Bamboo airway , và chọn nơi đây để nghỉ chân.Khách sạn ngay trung tâm rất thuận tiện để đi bất kỳ đâu.Let’s join"
Reveiw khách sạn,"Phòng sạch sẽ rộng rãi , nhân viên nhiệt tình chu đáo, giá cả hợp lý, mình ở 2 đêm phòng view trực diện biển , nhân viên khác sạn nhiệt tình, có nhu cầu gì gọi đien các bạn rất nhiệt tình giúp đỡ, đồ ăn sáng dễ ăn"
Khách sạn tuyệt vời,"Dịch vụ tốt, nhân viên thân thiện, không gian và vị trí khách sạn đẹp, ngay trung tâm thành phố thuận tiện cho các hoạt động. Gia đình chúng tôi đã có một kỳ nghỉ tuyệt vời tại đây. Ấn tượng voi các bạn nhân viên tiền sảnh, luôn vui vẻ và tận tình. Chúng tôi chắc chắn sẽ quay lại khi ghé tới Nha Trang"
Nha Trang xinh dep,"Cảm ơn bạn Nhuận đã giúp cho mình và gia đình có kì nghỉ tại Nha tRang thật là thú vị,  bạn đã giới thiệu cho mình nhiều địa điểm du lịch rất đẹp tai đây. mình hy vọng được gặp lại bạn và toàn bộ đội ngũ lễ tân vào dịp tới."
Kỳ Nghỉ Mùa Hè,"Khách sạn nhìn chung rất tốt, cơ sở vật chất còn khá mới, có đường hầm đi qua biển rất tiện lợi, so với những khách sạn khác khi băng qua đường để tắm biển rất sợ xe cộ.
Ăn sáng buffet rất nhiều món đa dạng, có nhân viên phục vụ tận tình, hỏi thăm dịch vụ mỗi sáng, là một khách lưu trú tôi cảm thấy rất an tâm và an toàn khi ở đây.
Ngoài ra còn có Skylight tầng thượng, có thể vui chơi. Hoặc không thì từ KS đi tới Trung tâm thành phố cũng rất gần, có thể đi taxi không mắc chút nào 
Mọi người hãy tới đây để có một kì nghỉ tốt."
Khách sạn tuyệt vời,"Tôi quay lại khách sạn này vào dip nắng nóng tsij Hà nội,biển nha trang tuyệt đẹp,bãi cát sạch và khách sạn có đường hầm ra biển,đi lại thuận tiên và an toàn.nhân viên thân thiên nhiệt tình.ăn sáng rất ngon đặc biệt là móm bánh cuốn rất tuyệt và ít nơi có được.Tôi sẽ sơm quay lại và giới các gia đình bạn bè đến nghỉ dưỡng tại hotel này"
Nha Trang,"Kỳ nghỉ hè vừa rồi thật sự là một kí ức đáng nhớ, thật không hối hận khi chọn Havana làm nơi nghỉ dưỡngPhòng ở đây có view rất đẹp, nếu thức dậy lúc 5h sáng và nhìn ra cửa sổ, bạn sẽ ngỡ ngàng trước một cảnh bình minh không ở đâu có thể so sánh được.Nhân viên lễ tân luôn vui vẻ và nhiều kiến thức.Bữa sáng đa dạng, nhiều món ngon, nhân viên cũng rất tận tìnhKS có hồ bơi, phòng tập gym, bar Tây trên tầng thương, Casino cho người nước ngoài, đường hầm đi ra biển, bãi biển riêng của KS.Tóm lại chúng tôi sẽ quay lại HAVANA khi có dịp"
Quá tệ,"Tôi và người thân đã ở khách sạn này, điều làm tôi cảm thấy kinh khủng là thái độ của nhân viên Bellman. Tôi và gia đình đi chơi và chưa về kịp đến khách sạn để nhận đồ tôi đặt hàng trên mạng, và rồi tôi nhờ các bạn bellman nhận giúp nhưng thái độ hỗ trợ khách của các bạn thật làm tôi thất vọng. Tôi chưa về kịp nên mới nhờ, Thua một cái ks tầm hai ba sao,. Đó là tất cả những gì tôi cảm nhận. Sẽ không bao giờ quay lại."
Havana hotel- The best service ever,"Gia đình nhỏ vừa có trải nghiệm cực kỳ tuyệt vời ở khách sạn. Khách sạn ở ngay trung tâm tp, đầy đủ các dịch vụ hồ bơi xông hơi, gym, spa, bar ... Điều làm t hài lòng nhất là dịch vụ ở đây, các bạn lễ tân dễ thương & rất nhiệt tình. Được bạn Kim CSKH giới thiệu nhiệt tình & giảm giá,  chúng tôi đã dùng bữa tối buffet tại ks. Nhà hàng sang trọng, đồ ăn đa dạng phong phú. Thankyou so much. Be back soon!"
Havana number one,"Khách sạn siêu to nằm ở vị trí đắc đạo của thành phố. Nhắm mắt thấy biển. Mở mắt cũng thấy biển. Siêu thích nhé. Nhân viên thân thiện cứ cười tít mắt và chào hỏi rất lễ phép. Đặc biệt là cháu Nhuận, khách sạn đông, vui,náo nhiệt. Kì sau nếu vào Nha Trang vẫn sẽ ở đây."
Tuyệt vời,"Tôi hài lòng với các dịch vụ: - phòng ốc: đẹp, rộng, nhân viên thân thiện - nhà hàng: thức ăn đa dạng hợp khẩu vị...Các resort hotel tôi đi có thể đồ ăn thấy đa dạng và nhiều va sang trọng nhưng lại không hợp khẩu vịTuy nhiên ở đây lại rất ngonKhông gian thoẢi mái nhân viên nhiệt tìnhGiá cả hợp lý"
Lựa chọn đúng đắn,Với mức giá rất hợp lý và vị trí thuận  lợi cũng như dịch vụ tốtGia đình tôi đánh giá cao Havana Nha TrangLần nào ghé tôi cũng thấy nhộn nhịpỞ đây đi đâu cũng tiệnVào cổng nhân viên hỗ trợ mở cửa xe nhiệt tìnhTrên nhà hàng ăn trưa đồ ăn ngon với người Việt. Đặc biệt các bé rất thoải máiGiá lại siêu mềm. Nếu đi theo nhóm gia đình tôi thấy rất hợp lýMặc dù đông nhưng tôi thấy họ phục vụ rata kịp thời và nhã nhặnMọi người nên đến và thử
Hài lòng,Địa điểm thuận tiện để di chuyen di bat ky dauPhong cua toi view bien rat depDich vu don phong sach seNhan vien than thienNha hang an da dang va hop khau viO tang 5 co ho boi xong hoiTôi có dùng dịch vụ gội đầu ở đây.Rất hài lòng và nếu có quay lại tôi sẽ ở đâyNhân viên ở đây rất thân thiện
Rất hài lòng,Tôi và mẹ ở Havana trong 2 đêmĐánh gía về khách sạn dịch vụ tốtDịch vụ phòng sạch sẽ view đẹpNhà hàng rất vừa miệngDịch vụ ở lễ tân thân thiệnChúng tôi đã có thời gian rất thoải mái ở đâyĐánh giá caoVị trí thuận tiện
Rất hài lòng,Chúng tôi đi cùng đoàn công ty và ở Havana 2 đêmChất lượng dich vụ ở đây rất tốtNhân viên ân cầnPhòng sạch sẽ tuyệt vờiĂn sáng cũng rất ưng ýCác bạn hành lý hỗ trợ rất nhiệt tìnhNói chung mọi thứ tôi hài lòng
Tuyệt vời,"Lần đầu tiên đến Nha Trang và HavanaChúng tôi cực kỳ ấn tượng về dịch vụ ở đây rất tốt rất nhiệt tìnhVề phòng rất thoải mái, sạch sẽ, view đẹpCảm giác chúng tôi như đang được ở nhàĐồ ăn sáng đa dạngĐiều đặc biệt ở Havana luôn là chất lượng dịch vụ."
Giá trị,"Chúng tôi hài lòng với các dịch vụ:- phòng ốc: đẹp, rộng, nhân viên dọn phòng rất dễ thương- nhà hàng: chúng tôi đi đoàn nên có được sắp xếp khu vực riêng, nhưng nếu muốn khu vực bên ngoài vui vẫn xếp được- quầy lễ tân: đánh giá tuyệt vời. Nhất là cháu Ny"
Đáng giá tiền,"Khách sạn nằm ở vị trí đắt địa nên dễ di chuyển đến bất kỳ đâuNhân viên lễ tân có vẻ luôn bận rộn với nhiều thứ, nhưng tôi cũng đươjc nhận phòng sớm. Phòng tôi nằm trên tầng 27 nhìn ra biển rất đẹp. Điều đặc biệt là khu vực ăn sáng được phân bổ riêng và được mời thực đơn bổ sung vì tôi ở trên 3 ngày ( tôi cho là vậy)Nhân viên cũng thân thiệnTôi không gặp khó khăn gì khi ở khách sạn này cảNếu tính ra 5 sao thì giá cả ở đây phù hợp chất lượng."
❤️❤️❤️,"Mình rất hài lòng khi gia đình mình chọn Havana là nơi nghỉ dưỡng khi đến Nha Trang. Vị trí trung tâm, view đẹp, các bạn lễ tân, phục vụ rất dễ thương, nhanh nhẹn; đồ ăn buffet sáng tầng 3 ngon, dễ ăn.Nhà mình có trẻ nhỏ nên có đường hầm đi ra biển rất an toàn, yên tâm. Skylight là sự lựa chọn tuyệt vời cho buổi tối. Mình sẽ tiếp tục chọn Havana cho lần sau đến Nha Trang."
Khách sạn tốt,"Vị trí khách sạn nằm ở trung tâm rất thuận tiện để di chuyển đi bất kỳ đâuKhách sạn rất lớn nên luôn đông đúc vào buổi sáng lúc các đoàn khách đi ra ngoài.Tuy nhiên dịch vụ rất tốt, nhân viên luôn ân cần, nhiệt tìnhTôi được ưu đãi giá tốt và phòng đẹp nên vẫn sẽ quay lại"
Khách sạn Premier Havana Nha Trang,"View tuyệt đẹp. Cách phục vụ rất tốt. Có bãi tắm riêng đi bằng đường hầm nên khá an toàn cho du khách!Vị trí thuận tiện để đi đến các nơi vui chơi, giải trí ăn uống. Phòng ốc tiện nghi sạch sẽ. Nhân viên lễ phép. Tôi rất hài lòng khi ở đây!"
Riewie khách sạn Havana Nha Trang,"Mọi thứ diều rất tốt , mấy ac lễ tân điều tận tình nói chung là okayy xứng đáng đồn tiền bát gạo ạ.. lần sau có đến Nha Trang nhất định sẽ nghĩ ở havana nữa... khách sạn nằm ngay trung tâm nên di chuyển vui chơi cũng rất tiện lợi"
